text,cluster_id,true_label
I'm getting a little loopy.,61,expressing emotion
Very well. Understood. That's for sure.,66,acknowledging understanding
It's a lot of emails I've gone through. I've gone through more in the last two weeks than ever in a two week time span. OK. Did you all have anything specific you wanted to talk about?,65,providing status update
"Speaking of emails. Earlier in the week, Susan, I sent you an email about location groups.",42,referencing previous communication
[indecipherable] I haven't gotten back to that one yet. I do remember reading it...Stop it!,2,noise
41] [laughter],0,noise
Slacker.,-1,noise
Slacker? That's me. Goofing off. I'll find out the answers and get them to you.,-1,expressing emotion
Thank you. Would that be related to the ICP clusters?,-1,asking for clarification
"Yeah. I know Peggy and I talked about it, because she was working on some documentation and had a few questions [indecipherable] sent on to Susan.",48,discussing documentation questions
"One of Larry's group [indecipherable] was wondering...I don't know, I hope it's in an email about, I think Susan or somebody explained you could [indecipherable] location groups, or there wasn't an opportunity to do global ones. We need to get those clusters back in, or started.",18,requesting clarification on location groups and clustering functionality
Anything else that we need to talk about?,11,requesting additional topics
"Jim, do you have anything else?",11,requesting update
"No, I'm good.",53,expressing status
"So, Jim, the last email that Brian sent in regards to those CLLIs that we can't match as an exchange? I know we're getting down to the wire. I don't think that Ken and I can weigh in on that, as to what he wants to do.",16,requesting clarification on task status
"I've got it open, here. That was one of my two things, so I'll jump to that one. Yeah, Brian...Let's see, where are we? The company plant couldn't find a CLLI code.",6,starting a task
"Yeah. It's cryptic, so I apologize. Those two other formats for the pseudo-CLLIes. One of them starts with the four characters. Plant, followed by the state, followed by the sub-plant. The right two characters of the company. The other one is what I call the x-pseudos, where you have x company plant and sub-plant.",-1,explaining data format details
18] None of those exist at all in those network element files that DJ sent my way. I was trying to marry up them by company plant and sub-plant. I had some pretty moderate success with that.,20,reporting progress on data matching task
"Actually, a different email [indecipherable] . Ship this one.",9,requesting deployment
"It was probably...It kind of looks like it. I did just company, plant at first. Then I tried company, plant, and zip code. I got a little bit better results with that. There's still the company, plant combination either doesn't exist in the CLLIs that exist in those network element files, or the combination yields too many...There's not a distinct exchange, otherwise, for that combination.",6,explaining troubleshooting results
What are you bouncing off of? I don't know.,-1,"expressing confusion
expressing confusion"
There was three files. ,-1,reporting a fact
